"date","ATC","lower bound of 95% confidence interval","upper bound of 95% confidence interval"
"2020-03-30","-0.0255886731954515","-0.106972688827407","0.0557953424365038"
"2020-03-31","-0.014903972970183","-0.0276676725335363","-0.00214027340682963"
"2020-04-01","-0.0546466856366144","-0.119937646301862","0.0106442750286329"
"2020-04-02","-0.0794957128064422","-0.155589167380829","-0.00340225823205553"
"2020-04-03","0.0147742498893864","-0.0533313250051208","0.0828798247838936"
"2020-04-04","-0.033761765510352","-0.0880069091726226","0.0204833781519186"
"2020-04-05","-0.00545384287557271","-0.0335079402046292","0.0226002544534838"
"2020-04-06","0.0188386095188916","-0.118098243673536","0.155775462711319"
"2020-04-07","1.53607414715335","-1.00334539544182","4.07549368974851"
"2020-04-08","-0.119035037087278","-0.225355013883019","-0.0127150602915378"
"2020-04-09","-0.0683093578955729","-0.21763685218457","0.081018136393424"
"2020-04-10","0.0463883937269821","-0.0895349442604801","0.182311731714444"
"2020-04-11","-0.12494252346054","-0.318233381164534","0.0683483342434543"
"2020-04-12","-0.00498622516644194","-0.0558028585844845","0.0458304082516006"
"2020-04-13","-0.0778699120352613","-0.133265158897273","-0.0224746651732496"
"2020-04-14","-0.0105835960716108","-0.138289907408821","0.1171227152656"
"2020-04-15","-0.0614312752144551","-0.120998378516744","-0.0018641719121661"
"2020-04-16","-0.0357146978096959","-0.116724027294962","0.0452946316755705"
"2020-04-17","-0.0394574528887559","-0.148953081804024","0.070038176026512"
"2020-04-18","-0.024852135064789","-0.0874191646223041","0.0377148944927262"
"2020-04-19","-0.027398927445501","-0.0775578613664679","0.0227600064754658"
"2020-04-20","-0.0155580796170475","-0.0780357957848471","0.0469196365507522"
"2020-04-21","-0.0509154671943658","-0.0875880075395703","-0.0142429268491614"
"2020-04-22","0.00586787825961183","-0.103910287691636","0.11564604421086"
"2020-04-23","-0.0875442367346814","-0.249265112272649","0.0741766388032857"
"2020-04-24","-0.0690552012878328","-0.147346348207306","0.00923594563164015"
"2020-04-25","-0.0524222023254089","-0.101834754250348","-0.00300965040046976"
"2020-04-26","-0.0196936784328397","-0.0384117146569338","-0.000975642208745655"
"2020-04-27","-0.0324932256045984","-0.0689951978025269","0.00400874659333005"
