"date","ATC","lower bound of 95% confidence interval","upper bound of 95% confidence interval"
"2020-03-30","0.0447354329876925","0.0110009837197589","0.0784698822556261"
"2020-03-31","0.114581817579565","0.0246449446548464","0.204518690504283"
"2020-04-01","0.0482732746179633","-0.0183281773125375","0.114874726548464"
"2020-04-02","-0.0748547815822057","-0.261219282573266","0.111509719408854"
"2020-04-03","0.149398154335542","-0.0300063549981817","0.328802663669265"
"2020-04-04","0.207122645976417","-0.0170716256041478","0.431316917556981"
"2020-04-05","0.209105918801877","0.117053020735341","0.301158816868412"
"2020-04-06","-0.100599192844391","-0.302422785439362","0.101224399750579"
"2020-04-07","-0.111983611913942","-0.24036367508554","0.0163964512576558"
"2020-04-08","-0.0999697816357387","-0.197315454726065","-0.0026241085454126"
"2020-04-09","-0.276207680618078","-0.499362598823579","-0.0530527624125764"
"2020-04-10","-0.0715956103024577","-0.17893107920231","0.035739858597395"
"2020-04-11","-0.187338716116234","-0.440411113696009","0.0657336814635416"
"2020-04-12","-0.0336284070560897","-0.0797132830938539","0.0124564689816746"
"2020-04-13","-0.098776237455997","-0.221144871810034","0.0235923968980396"
"2020-04-14","-0.166497183809288","-0.351662409631409","0.0186680420128333"
"2020-04-15","-0.107845578704837","-0.22059433177438","0.00490317436470687"
"2020-04-16","-0.121690040325724","-0.264049106693199","0.0206690260417506"
"2020-04-17","-0.161540121181484","-0.30399242608883","-0.019087816274137"
"2020-04-18","-0.138655783090848","-0.324477774982964","0.0471662088012669"
"2020-04-19","-0.0108803745642391","-0.0625935178796385","0.0408327687511603"
"2020-04-20","-0.0465609361684376","-0.121418536958414","0.0282966646215392"
"2020-04-21","-0.191092021188774","-0.533740240391994","0.151556198014446"
"2020-04-22","-0.151845755873103","-0.453062141537973","0.149370629791766"
"2020-04-23","-0.106344460718688","-0.239273412551328","0.0265844911139522"
"2020-04-24","-0.070470987981727","-0.165253936257182","0.0243119602937283"
"2020-04-25","-0.038341542819481","-0.120920448385854","0.044237362746892"
"2020-04-26","-0.00817813478617137","-0.0349329441530036","0.0185766745806609"
"2020-04-27","-0.0494255046682103","-0.12596666020546","0.0271156508690395"
