"date","outcome average in matched control municipalities","outcome average in matched treated municipalities","outcome average in all treated municipalities"
"2020-03-30","0.0472330789146806","0.0596705536131206","0.0535009163374817"
"2020-03-31","0.014903972970183","0.00550052380360271","0.157502192928394"
"2020-04-01","0.0681486640815159","0.0312648800171603","0.120229671985045"
"2020-04-02","0.0949801485387316","0.0451872512685903","0.154655037771507"
"2020-04-03","0.0292689284589104","0.0815028766994036","0.319933782912561"
"2020-04-04","0.0521065413648993","0.0304613646748108","0.346146563279273"
"2020-04-05","0.0243775584986156","0.0255899361981253","0.268883829470035"
"2020-04-06","0.0580703309381055","0.00367029848398863","0.219362148609313"
"2020-04-07","0.0897330964633933","0.0101492413181943","0.272241160574627"
"2020-04-08","0.165805238579481","0.0291339612689124","0.342409065194836"
"2020-04-09","0.158824729922552","0.00290734291893183","0.364202377414163"
"2020-04-10","0.0712964976783573","0.00971321240493827","0.365677864741961"
"2020-04-11","0.144222063781699","0.0186113275551053","0.297350234036823"
"2020-04-12","0.0368118773155239","0.0195973048400662","0.327773692168027"
"2020-04-13","0.0461113616949936","0.0252792508720454","0.259770373162988"
"2020-04-14","0.043667346082379","0.0169856849565291","0.695879580670382"
"2020-04-15","0.0861800027985065","0.0140061235169932","0.66707768188913"
"2020-04-16","0.0616818196381623","0.0242604427137185","0.455395545191142"
"2020-04-17","0.112642678498644","0.00516827569642361","0.342835960982139"
"2020-04-18","0.0628330129724144","0.0184713595988108","0.225656841712086"
"2020-04-19","0.070374562438961","0.0186050106733853","0.134264923300072"
"2020-04-20","0.0763250953698945","0.00387442478303474","0.292056657917321"
"2020-04-21","0.057653999703297","0.0171114580685696","0.131541298955829"
"2020-04-22","0.0374205281967597","0.0242707647212865","0.210610741959812"
"2020-04-23","0.180566820511787","0.136490603037749","0.165663349651807"
"2020-04-24","0.0549195789495454","0.0134545174842513","0.120873524887204"
"2020-04-25","0.0429168012929356","0.0229202895992759","0.0599167005372655"
"2020-04-26","0.0156665348206597","0.00815197208491582","0.044842360316072"
"2020-04-27","0.020313694957797","0.009454539093575","0.0413608645009701"
