"date","ATC","lower bound of 95% confidence interval","upper bound of 95% confidence interval"
"2020-04-03","0.0126840025176623","-0.0590763264256437","0.0844443314609683"
"2020-04-04","0.33758199161296","-0.457102444031481","1.1322664272574"
"2020-04-05","-0.0210914434442535","-0.0613945339777297","0.0192116470892227"
"2020-04-06","0.0729633704877821","-0.117403197065426","0.263329938040991"
"2020-04-07","0.0170421624906462","-0.0818593639104906","0.115943688891783"
"2020-04-08","0.0347230421551787","-0.125309519034078","0.194755603344435"
"2020-04-09","0.97828942545605","-1.02030982926197","2.97688868017407"
"2020-04-10","0.556309960132256","-0.453554020512243","1.56617394077676"
"2020-04-11","1.43598532757726","-1.69791140893959","4.5698820640941"
"2020-04-12","0.243397461656761","-0.304076925029633","0.790871848343156"
"2020-04-13","0.129990756965305","-0.14975175416014","0.40973326809075"
"2020-04-14","0.166135540134389","-0.153675114509654","0.485946194778433"
"2020-04-15","0.591235751580894","-0.45832865843765","1.64080016159944"
"2020-04-16","1.04352125330611","-0.958781980628424","3.04582448724065"
"2020-04-17","-0.0468152247596865","-0.0894549965432154","-0.00417545297615762"
"2020-04-18","-0.0398085394296664","-0.114791979442129","0.0351749005827965"
"2020-04-19","0.576129387192475","-0.437208030109796","1.58946680449475"
"2020-04-20","1.01274109158559","-0.96382771442846","2.98930989759963"
"2020-04-21","-0.0388131680144016","-0.0940783226408259","0.0164519866120226"
"2020-04-22","0.052659964553564","-0.0907769076955534","0.196096836802681"
"2020-04-23","-0.0595678487226625","-0.125450892754939","0.00631519530961411"
"2020-04-24","-0.0593301454320433","-0.144680556982377","0.0260202661182903"
"2020-04-25","-0.0372715876516257","-0.0872583515214992","0.0127151762182479"
"2020-04-26","0.490989472770688","-0.497305600947218","1.47928454648859"
"2020-04-27","-0.0020396820731915","-0.0222479867208361","0.0181686225744531"
"2020-04-28","0.0576524061433735","-0.0826678767058996","0.197972688992647"
"2020-04-29","0.063128087303655","-0.0814280026401304","0.207684177247441"
"2020-04-30","0.195618254294561","-0.216213798214277","0.6074503068034"
"2020-05-01","-0.00145379147823169","-0.0074097135239521","0.00450213056748872"
