"date","outcome average in matched control municipalities","outcome average in matched treated municipalities","outcome average in all treated municipalities"
"2020-03-30","0.00876548334978907","0.0535009163374817","0.0535009163374817"
"2020-03-31","0.0429203753488292","0.157502192928394","0.157502192928394"
"2020-04-01","0.0719563973670814","0.120229671985045","0.120229671985045"
"2020-04-02","0.229509819353713","0.154655037771507","0.154655037771507"
"2020-04-03","0.17053562857702","0.319933782912561","0.319933782912561"
"2020-04-04","0.139023917302856","0.346146563279273","0.346146563279273"
"2020-04-05","0.0597779106681582","0.268883829470035","0.268883829470035"
"2020-04-06","0.14541238770328","0.0100867809954197","0.219362148609313"
"2020-04-07","0.180769829851677","0.0210382677353224","0.272241160574627"
"2020-04-08","0.131061833852107","0.166296893774681","0.342409065194836"
"2020-04-09","0.471245269425298","0.0697709447893009","0.364202377414163"
"2020-04-10","0.13326959908329","0.0193724792600836","0.365677864741961"
"2020-04-11","0.23704246047774","0.0539152789957085","0.297350234036823"
"2020-04-12","0.0496849746095229","0.00567158869820251","0.327773692168027"
"2020-04-13","0.165781608090914","0.0197387718504579","0.259770373162988"
"2020-04-14","0.303147317812969","0.0635145617419056","0.695879580670382"
"2020-04-15","0.0971001110989132","0.00800626275068597","0.66707768188913"
"2020-04-16","0.17692657431128","0.0531023062177054","0.455395545191142"
"2020-04-17","0.320633491611578","0.0402799869189425","0.342835960982139"
"2020-04-18","0.169003126626752","0.00918968692125332","0.225656841712086"
"2020-04-19","0.0515639762847605","0.0123603916602604","0.134264923300072"
"2020-04-20","0.102971072636712","0.0357668722143689","0.292056657917321"
"2020-04-21","0.277147267509279","0.0750830284617703","0.131541298955829"
"2020-04-22","0.192086908727146","0.0885355008741503","0.210610741959812"
"2020-04-23","0.241244873092734","0.0229191992026011","0.165663349651807"
"2020-04-24","0.114162424312108","0.0310320070746449","0.120873524887204"
"2020-04-25","0.0681810013041311","0","0.0599167005372655"
"2020-04-26","0.00919222102034385","0.00146250730812819","0.044842360316072"
"2020-04-27","0.092432282593027","0.000796881630055162","0.0413608645009701"
