"date","outcome average in matched control municipalities","outcome average in matched treated municipalities","outcome average in all treated municipalities"
"2020-04-03","0.0236159239205328","0.0362999264381951","0.229834706777743"
"2020-04-04","0.0369682554731556","0.374550247086116","0.27642231405145"
"2020-04-05","0.0210914434442535","0","0.231781959763364"
"2020-04-06","0.0177264985627355","0.0906898690505177","0.20945713338596"
"2020-04-07","0.0446444873287456","0.0616866498193917","0.252102741787154"
"2020-04-08","0.0476828377089646","0.0824058798641434","0.359997741680837"
"2020-04-09","0.103324614746216","1.08161404020227","0.361261457922377"
"2020-04-10","0.0166888065675","0.572998766699756","0.352472916588325"
"2020-04-11","0.0116080095961802","1.44759333717344","0.393772134021059"
"2020-04-12","0.0132047828763743","0.256602244533136","0.251920221550343"
"2020-04-13","0.00897473830520575","0.138965495270511","0.268008484691335"
"2020-04-14","0.0153237421195266","0.181459282253916","0.537546661080759"
"2020-04-15","0.042747005357437","0.633982756938331","0.503031920947883"
"2020-04-16","0.0675648671780748","1.11108612048419","0.369306160478302"
"2020-04-17","0.0468152247596866","0","0.373152099356508"
"2020-04-18","0.0541745744878407","0.0143660350581743","0.241438836881053"
"2020-04-19","0.00783591160678349","0.583965298799258","0.178985613534485"
"2020-04-20","0.00618920689876816","1.01893029848436","0.255172725893148"
"2020-04-21","0.0422126709730741","0.00339950295867241","0.168971061410478"
"2020-04-22","0.0192905577845122","0.0719505223380763","0.222440769425332"
"2020-04-23","0.0595678487226625","0","0.200049206388695"
"2020-04-24","0.0668971745728728","0.00756702914082943","0.159562567524457"
"2020-04-25","0.0389713391309619","0.00169975147933621","0.130401238180716"
"2020-04-26","0.019325552211158","0.510315024981846","0.0652011099992717"
"2020-04-27","0.00883868799053632","0.00679900591734483","0.070663945170158"
"2020-04-28","0.0108986132360304","0.0685510193794038","0.0881457355668954"
"2020-04-29","0.011290209737242","0.0744182970408971","0.0872105871819279"
"2020-04-30","0","0.195618254294561","0.078546648288258"
"2020-05-01","0.0031535429575679","0.00169975147933621","0.126768714489253"
