"date","ATC","lower bound of 95% confidence interval","upper bound of 95% confidence interval"
"2020-03-30","0.0124374746984401","-0.107684484922022","0.132559434318903"
"2020-03-31","-0.00940344916658024","-0.0236776262698373","0.00487072793667682"
"2020-04-01","-0.0368837840643556","-0.0912096571148568","0.0174420889861455"
"2020-04-02","-0.0497928972701412","-0.120649832329907","0.0210640377896244"
"2020-04-03","0.0522339482404932","-0.0262712362327571","0.130739132713743"
"2020-04-04","-0.0216451766900885","-0.0750991721318253","0.0318088187516483"
"2020-04-05","0.00121237769950964","-0.0144715826685906","0.0168963380676099"
"2020-04-06","0.272713488791679","-0.162050253169534","0.707477230752892"
"2020-04-07","0.157334575730805","-0.129897290726346","0.444566442187956"
"2020-04-08","-0.0154286287166187","-0.162076035997118","0.131218778563881"
"2020-04-09","0.185124979203833","-0.393666049489381","0.763916007897047"
"2020-04-10","0.159432699672851","-0.0689708410353215","0.387836240381023"
"2020-04-11","-0.0581251769441392","-0.262281289716608","0.14603093582833"
"2020-04-12","0.00776178542500809","-0.0455520629439633","0.0610756337939795"
"2020-04-13","-0.067975438534051","-0.124864464729177","-0.0110864123389253"
"2020-04-14","0.138171712804334","-0.093104946863667","0.369448372472335"
"2020-04-15","0.0528360629788686","-0.104150959209606","0.209823085167344"
"2020-04-16","-0.0182974022991387","-0.094826807173182","0.0582320025749046"
"2020-04-17","-0.0120224273582768","-0.11932562601001","0.0952807712934559"
"2020-04-18","0.147042376515948","-0.109903263306472","0.403988016338369"
"2020-04-19","0.0174951434452904","-0.0590169012550719","0.0940071881456527"
"2020-04-20","0.0313277809346017","-0.102239362453825","0.164894924323029"
"2020-04-21","-0.0376982724421683","-0.0757811049906526","0.000384560106315941"
"2020-04-22","0.00189203286755369","-0.092682299334567","0.0964663650696743"
"2020-04-23","-0.0217664453028262","-0.267205565750187","0.223672675144534"
"2020-04-24","-0.0621165133229019","-0.140726046624098","0.0164930199782938"
"2020-04-25","-0.0481189151721281","-0.0978525853368932","0.00161475499263704"
"2020-04-26","-0.0185589780429842","-0.0373373928768155","0.000219436790847117"
"2020-04-27","-0.0317579679376025","-0.0680537760564396","0.00453784018123447"
