"date","outcome average in matched control municipalities","outcome average in matched treated municipalities","outcome average in all treated municipalities"
"2020-04-03","0.0189235090698732","0.0460614906384171","0.229834706777743"
"2020-04-04","0.0296227714866328","0.0240778238671137","0.27642231405145"
"2020-04-05","0.0169006354634735","0.082580853014632","0.231781959763364"
"2020-04-06","0.0142042952652539","0.0202216759795034","0.20945713338596"
"2020-04-07","0.0357737585761284","0.0510448542073713","0.252102741787154"
"2020-04-08","0.038208397643014","0.0838643798115401","0.359997741680837"
"2020-04-09","0.0827943167021796","0.118328119674692","0.361261457922377"
"2020-04-10","0.0133727896273778","0.150967449671661","0.352472916588325"
"2020-04-11","0.00930153211941473","1.2997269638205","0.393772134021059"
"2020-04-12","0.0105810312299286","0.268152691253105","0.251920221550343"
"2020-04-13","0.0071914841142691","0.111258008205739","0.268008484691335"
"2020-04-14","0.0122789594833992","0.227195337763767","0.537546661080759"
"2020-04-15","0.0342533007098681","0.139520318491524","0.503031920947883"
"2020-04-16","0.0541399261426918","0.175212250071015","0.369306160478302"
"2020-04-17","0.0525700515525279","0.00625132441253596","0.373152099356508"
"2020-04-18","0.0434102453550776","0.0977418154688882","0.241438836881053"
"2020-04-19","0.00627893894224345","0.118812453263676","0.178985613534485"
"2020-04-20","0.00495942963223768","0.0680994536727178","0.255172725893148"
"2020-04-21","0.0338251370012255","0.00217922534940303","0.168971061410478"
"2020-04-22","0.0325743907530301","0.0789124179721664","0.222440769425332"
"2020-04-23","0.149380479428629","0.00677312024916413","0.200049206388695"
"2020-04-24","0.104429195909882","0.0046157127676836","0.159562567524457"
"2020-04-25","0.0312278482938653","0.00317338747888017","0.130401238180716"
"2020-04-26","0.0154856216415142","0.0332650002835522","0.0652011099992717"
"2020-04-27","0.00708246659827992","0.00435845069880606","0.070663945170158"
"2020-04-28","0.0087330907363631","0.056413831875271","0.0881457355668954"
"2020-04-29","0.0233459518667921","0.0572808661879382","0.0872105871819279"
"2020-04-30","0","0.155301710773606","0.078546648288258"
"2020-05-01","0.0168260169228187","0.00108961267470152","0.126768714489253"
