"date","ATC","lower bound of 95% confidence interval","upper bound of 95% confidence interval"
"2020-04-03","0.027137981568544","-0.0347511892421543","0.0890271523792423"
"2020-04-04","-0.00554494761951919","-0.0263394668669405","0.0152495716279022"
"2020-04-05","0.0656802175511585","-0.0808429203350879","0.212203355437405"
"2020-04-06","0.00601738071424958","-0.0339147783832046","0.0459495398117038"
"2020-04-07","0.015271095631243","-0.0337176318218542","0.0642598230843401"
"2020-04-08","0.0456559821685262","-0.0711925928824841","0.162504557219536"
"2020-04-09","0.0355338029725122","-0.161284951968313","0.232352557913338"
"2020-04-10","0.137594660044283","-0.0192327836006743","0.294422103689241"
"2020-04-11","1.29042543170108","-0.939173418803242","3.52002428220541"
"2020-04-12","0.257571660023176","-0.139948023037084","0.655091343083436"
"2020-04-13","0.10406652409147","-0.090549537842585","0.298682586025524"
"2020-04-14","0.214916378280368","-0.0409831494510904","0.470815906011825"
"2020-04-15","0.105267017781656","-0.100885067456125","0.311419103019437"
"2020-04-16","0.121072323928323","-0.0790254885101338","0.32117013636678"
"2020-04-17","-0.046318727139992","-0.0930855607437815","0.000448106463797567"
"2020-04-18","0.0543315701138105","-0.129057088332722","0.237720228560344"
"2020-04-19","0.112533514321433","-0.0124335685718123","0.237500597214678"
"2020-04-20","0.0631400240404802","-0.0636376183501881","0.189917666431148"
"2020-04-21","-0.0316459116518224","-0.0751955684648811","0.0119037451612362"
"2020-04-22","0.0463380272191363","-0.0659287440736884","0.158604798511961"
"2020-04-23","-0.142607359179465","-0.349155910241103","0.0639411918821728"
"2020-04-24","-0.0998134831421985","-0.220154306854306","0.0205273405699095"
"2020-04-25","-0.0280544608149851","-0.0682720234615958","0.0121631018316256"
"2020-04-26","0.017779378642038","-0.0485368928682253","0.0840956501523013"
"2020-04-27","-0.00272401589947385","-0.0165667549044985","0.0111187231055508"
"2020-04-28","0.047680741138908","-0.0504265345139978","0.145788016791814"
"2020-04-29","0.0339349143211461","-0.0689162132392618","0.136786041881554"
"2020-04-30","0.155301710773606","-0.135618483127534","0.446221904674745"
"2020-05-01","-0.0157364042481172","-0.0441132368620084","0.012640428365774"
