"date","outcome average in matched control municipalities","outcome average in matched treated municipalities","outcome average in all treated municipalities"
"2020-03-30","0.0472330789146806","0.0596705536131206","0.0535009163374817"
"2020-03-31","0.014903972970183","0.00550052380360271","0.157502192928394"
"2020-04-01","0.0681486640815159","0.0312648800171603","0.120229671985045"
"2020-04-02","0.0949801485387316","0.0451872512685903","0.154655037771507"
"2020-04-03","0.0292689284589104","0.0815028766994036","0.319933782912561"
"2020-04-04","0.0521065413648993","0.0304613646748108","0.346146563279273"
"2020-04-05","0.0243775584986156","0.0255899361981253","0.268883829470035"
"2020-04-06","0.0583428344378369","0.331056323229516","0.219362148609313"
"2020-04-07","0.0851664239856744","0.242500999716479","0.272241160574627"
"2020-04-08","0.123333687910598","0.107905059193979","0.342409065194836"
"2020-04-09","0.137798613118806","0.322923592322638","0.364202377414163"
"2020-04-10","0.0605248624091129","0.219957562081963","0.365677864741961"
"2020-04-11","0.152384756622417","0.094259579678278","0.297350234036823"
"2020-04-12","0.0357488765719572","0.0435106619969653","0.327773692168027"
"2020-04-13","0.0794895896279085","0.0115141510938575","0.259770373162988"
"2020-04-14","0.0940032434488567","0.232174956253191","0.695879580670382"
"2020-04-15","0.0869883683213482","0.139824431300217","0.66707768188913"
"2020-04-16","0.0764072414861373","0.0581098391869987","0.455395545191142"
"2020-04-17","0.0999386251679965","0.0879161978097197","0.342835960982139"
"2020-04-18","0.0577336381392719","0.20477601465522","0.225656841712086"
"2020-04-19","0.0491040940330868","0.0665992374783772","0.134264923300072"
"2020-04-20","0.0494083729195848","0.0807361538541865","0.292056657917321"
"2020-04-21","0.0509154671943659","0.0132171947521975","0.131541298955829"
"2020-04-22","0.0597306039842947","0.0616226368518484","0.210610741959812"
"2020-04-23","0.136838218942321","0.115071773639494","0.165663349651807"
"2020-04-24","0.0773001408725399","0.0151836275496381","0.120873524887204"
"2020-04-25","0.0533271775961905","0.00520826242406238","0.0599167005372655"
"2020-04-26","0.0196936784328398","0.00113470038985557","0.044842360316072"
"2020-04-27","0.0324932256045985","0.000735257666995931","0.0413608645009701"
