"muncode","E2101","E3101"
23221,13,6
23222,12,6
23223,9,4
23224,10,5
23225,7,3
23226,9,3
23227,5,2
23228,5,2
23229,9,4
23230,10,5
23231,18,6
23232,13,6
23233,8,4
23234,10,6
23235,8,3
23236,8,4
23237,12,5
23238,6,3
23302,6,3
23342,3,1
23361,3,1
23362,4,2
23424,3,1
23425,5,2
23427,1,1
23441,4,1
23442,7,3
23445,6,5
23446,6,2
23447,4,2
23501,6,3
23561,5,2
23562,1,1
23563,1,1
25201,38,21
25202,17,8
25203,25,12
25204,13,5
25206,14,7
25207,9,6
25208,9,3
25209,21,7
25210,6,3
25211,9,4
25212,13,6
25213,22,10
25214,10,7
25383,5,1
25384,2,1
25425,4,2
25441,2,1
25442,2,1
25443,2,1
27100,299,155
27140,94,47
27202,24,11
27203,42,21
27204,10,5
27205,36,20
27206,8,3
27207,42,22
27208,11,5
27209,13,8
27210,46,21
27211,32,17
27212,28,16
27213,13,5
27214,17,11
27215,25,14
27216,13,8
27217,15,7
27218,13,10
27219,20,9
27220,15,10
27221,11,7
27222,13,5
27223,14,6
27224,10,6
27225,7,5
27226,8,4
27227,51,27
27228,10,4
27229,7,4
27230,10,5
27231,7,3
27232,8,5
27301,4,2
27321,4,2
27322,1,1
27341,2,1
27361,5,4
27362,1,1
27366,4,1
27381,2,2
27382,4,1
27383,2,1
31201,42,17
31202,23,13
31203,14,5
31204,7,3
31302,3,1
31325,2,1
31328,1,1
31329,4,1
31364,3,1
31370,3,3
31371,5,2
31372,2,2
31384,1,0
31386,4,3
31389,3,2
31390,4,2
31401,1,1
31402,2,1
31403,1,1
32201,35,19
32202,16,9
32203,37,16
32204,15,11
32205,16,6
32206,17,5
32207,7,4
32209,15,7
32343,10,2
32386,4,2
32441,1,1
32448,2,2
32449,8,3
32501,4,2
32505,5,4
32525,2,1
32526,1,1
32527,1,1
32528,7,4
33100,95,45
33202,64,28
33203,27,9
33204,14,7
33205,17,10
33207,14,5
33208,15,4
33209,15,6
33210,17,5
33211,10,5
33212,9,3
33213,12,6
33214,22,6
33215,9,5
33216,8,4
33346,3,2
33423,1,1
33445,2,1
33461,7,1
33586,1,1
33606,8,1
33622,2,1
33623,1,1
33643,1,1
33663,3,1
33666,5,3
33681,10,2
34100,148,79
34202,38,29
34203,8,3
34204,22,13
34205,24,17
34207,82,41
34208,6,2
34209,22,13
34210,19,7
34211,4,3
34212,37,18
34213,17,11
34214,10,6
34215,7,4
34302,5,2
34304,4,2
34307,4,2
34309,3,2
34368,4,2
34369,9,5
34431,3,2
34462,4,3
34545,5,2
35201,49,23
35202,24,14
35203,34,20
35204,21,15
35206,17,12
35207,8,3
35208,39,21
35210,12,6
35211,11,5
35212,12,4
35213,14,7
35215,34,18
35216,13,7
35305,11,5
35321,1,1
35341,2,2
35343,4,1
35344,2,1
35502,2,1
36201,34,19
36202,17,6
36203,11,2
36204,26,11
36205,11,5
36206,11,4
36207,8,7
36208,17,6
36301,2,1
36302,1,1
36321,1,1
36341,6,2
36342,2,1
36368,6,4
36383,1,1
36387,5,4
36388,3,2
36401,3,1
36402,3,1
36403,4,2
36404,4,1
36405,4,1
36468,5,4
36489,7,2
37201,52,29
37202,18,10
37203,12,6
37204,8,2
37205,10,5
37206,8,3
37207,6,3
37208,20,7
37322,2,2
37324,4,1
37341,4,1
37364,1,1
37386,2,1
37387,5,2
37403,3,1
37404,4,1
37406,6,1
38201,60,32
38202,26,16
38203,30,6
38204,12,5
38205,16,12
38206,26,10
38207,12,10
38210,9,4
38213,19,7
38214,12,5
38215,7,2
38356,5,4
38386,9,2
38401,3,3
38402,4,1
38422,7,4
38442,6,3
38484,2,1
38488,6,2
38506,13,5
41201,36,24
41202,36,21
41203,8,5
41204,0,0
41205,14,7
41206,14,6
41207,8,2
41208,8,4
41209,9,4
41210,7,3
41327,2,2
41341,2,2
41345,1,1
41346,4,3
41387,0,0
41401,4,2
41423,0,0
41424,1,1
41425,8,3
41441,2,2
42201,74,52
42202,44,26
42203,10,5
42204,28,17
42205,15,6
42207,15,9
42208,9,7
42209,19,13
42210,18,4
42211,17,12
42212,13,6
42213,19,7
42214,17,8
42307,5,3
42308,4,3
42321,2,2
42322,3,1
42323,3,1
42383,2,1
42391,2,1
42411,11,5
44201,56,33
44202,16,9
44203,21,10
44204,18,12
44205,22,15
44206,13,5
44207,9,6
44208,12,6
44209,11,6
44210,10,3
44211,27,7
44212,11,7
44213,11,3
44214,11,4
44322,1,1
44341,6,3
44461,6,1
44462,11,7
45201,49,33
45202,38,20
45203,28,18
45204,15,10
45205,12,9
45206,15,8
45207,11,1
45208,9,6
45209,5,4
45341,6,1
45361,4,2
45382,4,3
45383,1,1
45401,2,2
45402,3,3
45403,1,1
45404,1,1
45405,5,2
45406,4,1
45421,4,2
45429,3,1
45430,6,1
45431,3,3
45441,5,3
45442,4,1
45443,4,1
46201,82,45
46203,24,12
46204,4,4
46206,9,4
46208,14,7
46210,12,5
46213,11,1
46214,8,1
46215,27,15
46216,15,8
46217,20,3
46218,35,14
